"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers","missing_Sqft"
"1",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,10,NA,"A5","21-10 81ST STREET                        ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 600,000 ","4/10/2017",6e+05,1224,1800,0,FALSE
"2",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,11,NA,"A5","21-12 81ST STREET                        ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 600,000 ","4/10/2017",6e+05,1224,1800,0,FALSE
"3",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,61,NA,"A5","21-21 80TH   STREET                      ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 660,000 ","7/26/2016",660000,1224,1800,0,FALSE
"4",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,63,NA,"A5","21-17 80TH   STREET                      ","            ",11370," 1 "," -   "," 1 "," 1,800 "," 1,224 ",1950,1,"A5"," 275,500 ","11/18/2016",275500,1224,1800,0,FALSE
"9",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15829,22,NA,"A1","332 BEACH 40TH STREET                    ","            ",11691," 1 "," -   "," 1 "," 2,670 "," 1,480 ",2005,1,"A1"," 310,000 ","8/18/2016",310000,1480,2670,0,FALSE
"10",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15830,20,NA,"A1","320 BEACH 41 STREET                      ","            ",11691," 1 "," -   "," 1 "," 2,469 "," 1,476 ",2005,1,"A1"," 369,046 ","10/27/2016",369046,1476,2469,0,FALSE
"11",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15831,24,NA,"A2","331 BEACH 41ST STREET                    ","            ",11691," 1 "," -   "," 1 "," 3,804 "," 1,600 ",1930,1,"A2"," 359,000 ","5/4/2016",359000,1600,3804,0,FALSE
"12",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,73,NA,"A5","305 BEACH 45 STREET                      ","            ",11691," 1 "," -   "," 1 "," 2,612 "," 1,476 ",2006,1,"A5"," 370,000 ","9/22/2016",370000,1476,2612,0,FALSE
"14",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15849,22,NA,"A6","40-01 ROCKAWAY BEACH BLVD                ","            ",11691," 1 "," -   "," 1 "," 2,626 "," 618 ",1920,1,"A6"," 107,315 ","5/13/2016",107315,618,2626,0,FALSE
"15",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,92,NA,"A5","145 COMPASS PLACE                        ","            ",11692," 1 "," -   "," 1 "," 3,667 "," 2,515 ",2014,1,"A5"," 733,140 ","10/14/2016",733140,2515,3667,0,FALSE
"16",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15907,87,NA,"A2","3-12 BEACH 63 STREET                     ","            ",11692," 1 "," -   "," 1 "," 3,780 "," 888 ",1940,1,"A2"," 300,000 ","12/12/2016",3e+05,888,3780,0,FALSE
"17",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15913,87,NA,"A1","317 BEACH 66 STREET                      ","            ",11692," 1 "," -   "," 1 "," 2,500 "," 1,220 ",1925,1,"A1"," 332,000 ","7/26/2016",332000,1220,2500,0,FALSE
"18",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15915,52,NA,"A2","67-07 BEACH CHANNEL DRIVE                ","            ",11692," 1 "," -   "," 1 "," 3,333 "," 1,217 ",1955,1,"A2"," 169,371 ","3/30/2017",169371,1217,3333,0,FALSE
"20",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15954,18,NA,"A1","434 BEACH 38TH STREET                    ","            ",11691," 1 "," -   "," 1 "," 3,000 "," 1,600 ",2003,1,"A1"," 260,000 ","12/9/2016",260000,1600,3000,0,FALSE
"22",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,27,NA,"A6","448 BEACH 44TH STREET                    ","            ",11691," 1 "," -   "," 1 "," 1,735 "," 846 ",1899,1,"A6"," 334,000 ","3/17/2017",334000,846,1735,0,FALSE
"23",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15967,14,NA,"A1","428 BEACH 45 STREET                      ","            ",11691," 1 "," -   "," 1 "," 3,650 "," 1,416 ",1920,1,"A1"," 201,820 ","11/17/2016",201820,1416,3650,0,FALSE
"25",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15968,29,NA,"A6","456 BEACH 46 STREET                      ","            ",11691," 1 "," -   "," 1 "," 1,750 "," 792 ",1920,1,"A6"," 347,000 ","10/28/2016",347000,792,1750,0,FALSE
"26",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,13,NA,"A6","426 BEACH 47 STREET                      ","            ",11691," 1 "," -   "," 1 "," 2,252 "," 480 ",1940,1,"A6"," 305,000 ","8/31/2016",305000,480,2252,0,FALSE
"28",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16026,14,NA,"A9","626 BEACH 66TH STREET                    ","            ",11692," 1 "," -   "," 1 "," 2,250 "," 1,530 ",1960,1,"A9"," 407,000 ","3/17/2017",407000,1530,2250,0,FALSE
"29",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16026,14,NA,"A9","626 BEACH 66 STREET                      ","            ",11692," 1 "," -   "," 1 "," 2,250 "," 1,530 ",1960,1,"A9"," 180,000 ","10/5/2016",180000,1530,2250,0,FALSE
"31",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16029,1,NA,"A2","602 BEACH 69 STREET                      ","            ",11692," 1 "," -   "," 1 "," 3,800 "," 1,119 ",1920,1,"A2"," 395,000 ","7/8/2016",395000,1119,3800,0,FALSE
"34",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16033,46,NA,"A2","553 BEACH 66 STREET                      ","            ",11692," 1 "," -   "," 1 "," 2,500 "," 1,396 ",1965,1,"A2"," 299,000 ","9/29/2016",299000,1396,2500,0,FALSE
"35",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16034,16,NA,"A9","5-36 BEACH 68 STREET                     ","            ",11692," 1 "," -   "," 1 "," 2,600 "," 1,386 ",1950,1,"A9"," 250,000 ","9/1/2016",250000,1386,2600,0,FALSE
"37",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16048,61,NA,"A2","558 BEACH 72ND STREET                    ","            ",11692," 1 "," -   "," 1 "," 4,000 "," 812 ",1925,1,"A2"," 105,000 ","1/4/2017",105000,812,4000,0,FALSE
"38",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16050,5,NA,"A2","514 BEACH 72ND STREET                    ","            ",11692," 1 "," -   "," 1 "," 3,000 "," 1,236 ",1901,1,"A2"," 296,750 ","12/23/2016",296750,1236,3000,0,FALSE
"39",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16050,5,NA,"A2","514 BEACH 72                             ","            ",11692," 1 "," -   "," 1 "," 3,000 "," 1,236 ",1901,1,"A2"," 160,000 ","8/2/2016",160000,1236,3000,0,FALSE
"42",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16050,46,NA,"A2","69-32 THURSBY AVENUE                     ","            ",11692," 1 "," -   "," 1 "," 4,000 "," 2,788 ",1915,1,"A2"," 318,000 ","2/10/2017",318000,2788,4000,0,FALSE
"43",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16052,52,NA,"A5","69-30 GOUVERNEUR AVENUE                  ","            ",11692," 1 "," -   "," 1 "," 3,000 "," 1,800 ",2005,1,"A5"," 236,668 ","3/13/2017",236668,1800,3000,0,FALSE
"44",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16052,55,NA,"A1","69-38 GOUVERNEUR AVENUE                  ","            ",11692," 1 "," -   "," 1 "," 3,000 "," 1,580 ",1930,1,"A1"," 570,017 ","3/31/2017",570017,1580,3000,0,FALSE
"45",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16061,33,NA,"A1","74-16 HILLMEYER AVENUE                   ","            ",11692," 1 "," -   "," 1 "," 6,000 "," 1,414 ",1920,1,"A1"," 340,863 ","12/20/2016",340863,1414,6000,0,FALSE
"47",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16078,45,NA,"A2","314 BEACH 74 STREET                      ","            ",11692," 1 "," -   "," 1 "," 3,000 "," 796 ",1920,1,"A2"," 333,000 ","9/8/2016",333000,796,3000,0,FALSE
"48",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16078,49,NA,"A2","322 BEACH 74TH STREET                    ","            ",11692," 1 "," -   "," 1 "," 3,365 "," 1,160 ",1920,1,"A2"," 225,225 ","10/21/2016",225225,1160,3365,0,FALSE
"49",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16081,97,NA,"A1","328 BEACH 70TH STREET                    ","            ",11692," 1 "," -   "," 1 "," 3,680 "," 1,391 ",1920,1,"A1"," 215,000 ","8/26/2016",215000,1391,3680,0,FALSE
"51",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15831,14,NA,"B9","314 BEACH 42ND STREET                    ","            ",11691," 2 "," -   "," 2 "," 3,066 "," 1,764 ",1940,1,"B9"," 410,000 ","1/5/2017",410000,1764,3066,0,FALSE
"52",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15836,12,NA,"B3","316 BEACH 45 STREET                      ","            ",11691," 2 "," -   "," 2 "," 2,269 "," 2,340 ",1920,1,"B3"," 301,500 ","5/12/2016",301500,2340,2269,0,FALSE
"54",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15839,25,NA,"B9","366 BEACH 48TH STREET                    ","            ",11691," 2 "," -   "," 2 "," 3,067 "," 1,386 ",1955,1,"B9"," 167,000 ","11/9/2016",167000,1386,3067,0,FALSE
"55",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15839,44,NA,"B1","351 BEACH 47TH STREET                    ","            ",11691," 2 "," -   "," 2 "," 3,804 "," 2,200 ",2005,1,"B1"," 415,000 ","10/17/2016",415000,2200,3804,0,FALSE
"56",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15850,3,NA,"B1","41-13 ROCKAWAY BEACH BLVD                ","            ",11691," 2 "," -   "," 2 "," 1,890 "," 2,000 ",2006,1,"B1"," 201,000 ","2/15/2017",201000,2000,1890,0,FALSE
"58",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15897,133,NA,"B2","57-19 ARVERNE BOULEVARD                  ","            ",11692," 2 "," -   "," 2 "," 2,075 "," 2,000 ",2003,1,"B2"," 427,260 ","3/24/2017",427260,2000,2075,0,FALSE
"59",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15902,3,NA,"B2","160 BEACH 60 STREET                      ","            ",11692," 2 "," -   "," 2 "," 2,850 "," 2,386 ",1960,1,"B2"," 300,000 ","8/4/2016",3e+05,2386,2850,0,FALSE
"61",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,5,NA,"B2","63-06 BEACH FRONT ROAD                   ","            ",11692," 2 "," -   "," 2 "," 3,542 "," 3,084 ",2014,1,"B2"," 997,885 ","4/7/2017",997885,3084,3542,0,FALSE
"62",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,32,NA,"B2","62-03 OCEAN AVENUE SOUTH                 ","            ",11692," 2 "," -   "," 2 "," 4,931 "," 3,547 ",2014,1,"B2"," 992,793 ","6/29/2016",992793,3547,4931,0,FALSE
"63",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,35,NA,"B2","6206 OCEAN AVENUE SOUTH                  ","            ",11692," 2 "," -   "," 2 "," 6,200 "," 3,357 ",2014,1,"B2"," 992,793 ","7/7/2016",992793,3357,6200,0,FALSE
"64",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,36,NA,"B2","62-10 OCEAN AVENUE SOUTH                 ","            ",11692," 2 "," -   "," 2 "," 4,567 "," 2,664 ",2014,1,"B2"," 911,333 ","5/6/2016",911333,2664,4567,0,FALSE
"65",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,42,NA,"B2","140 COMPASS PLACE                        ","            ",11692," 2 "," -   "," 2 "," 4,085 "," 2,626 ",2014,1,"B2"," 901,151 ","6/7/2016",901151,2626,4085,0,FALSE
"66",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,45,NA,"B2","125 BEACH 62 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,440 "," 3,306 ",2014,1,"B2"," 773,870 ","6/7/2016",773870,3306,3440,0,FALSE
"67",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,48,NA,"B2","115 BEACH 62 STREET                      ","            ",11692," 2 "," -   "," 2 "," 6,248 "," 3,357 ",2014,1,"B2"," 992,793 ","8/18/2016",992793,3357,6248,0,FALSE
"68",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,53,NA,"B2","63-08 OCEAN AVENUE NORTH                 ","            ",11692," 2 "," -   "," 2 "," 2,661 "," 2,515 ",2014,1,"B2"," 712,775 ","8/26/2016",712775,2515,2661,0,FALSE
"69",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,74,NA,"B2","199 BEACH 62ND STREET                    ","            ",11692," 2 "," -   "," 2 "," 4,132 "," 3,306 ",2014,1,"B2"," 700,000 ","3/7/2017",7e+05,3306,4132,0,FALSE
"70",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,76,NA,"B2","195 BEACH 62 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,211 "," 2,626 ",2014,1,"B2"," 609,931 ","5/17/2016",609931,2626,3211,0,FALSE
"71",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,77,NA,"B2","191 BEACH 62 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,211 "," 2,626 ",2014,1,"B2"," 707,683 ","6/10/2016",707683,2626,3211,0,FALSE
"72",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,78,NA,"B2","189 BEACH 62 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,211 "," 2,626 ",2014,1,"B2"," 672,045 ","5/12/2016",672045,2626,3211,0,FALSE
"73",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,81,NA,"B2","181 BEACH 62 STREET                      ","            ",11692," 2 "," -   "," 2 "," 2,236 "," 3,306 ",2014,1,"B2"," 733,140 ","6/15/2016",733140,3306,2236,0,FALSE
"74",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,84,NA,"B2","173 BEACH 62 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,211 "," 2,626 ",2014,1,"B2"," 650,254 ","5/27/2016",650254,2626,3211,0,FALSE
"75",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,115,NA,"B2","191 SEA GRASS LANE                       ","            ",11692," 2 "," -   "," 2 "," 4,142 "," 2,958 ",2012,1,"B2"," 738,231 ","6/6/2016",738231,2958,4142,0,FALSE
"77",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,139,NA,"B2","6512 OCEAN AVENUE NORTH                  ","            ",11692," 2 "," -   "," 2 "," 2,987 "," 2,258 ",2012,1,"B2"," 660,000 ","8/9/2016",660000,2258,2987,0,FALSE
"78",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,220,NA,"B2","6615 OCEAN AVENUE NORTH                  ","            ",11692," 2 "," -   "," 2 "," 3,367 "," 2,974 ",2013,1,"B2"," 765,000 ","8/17/2016",765000,2974,3367,0,FALSE
"81",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,259,NA,"B2","66-14 SEASPRAY AVENUE                    ","            ",11692," 2 "," -   "," 2 "," 2,143 "," 2,908 ",2011,1,"B2"," 785,000 ","6/3/2016",785000,2908,2143,0,FALSE
"83",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,299,NA,"B2","6514 BEACH FRONT ROAD                    ","            ",11692," 2 "," -   "," 2 "," 3,542 "," 3,084 ",2014,1,"B2"," 1,069,162 ","7/8/2016",1069162,3084,3542,0,FALSE
"84",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,305,NA,"B2","66-08 BEACH FRONT ROAD                   ","            ",11692," 2 "," -   "," 2 "," 3,550 "," 3,084 ",2014,1,"B2"," 1,120,075 ","5/9/2016",1120075,3084,3550,0,FALSE
"85",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,308,NA,"B2","66-16 BEACH FRONT ROAD                   ","            ",11692," 2 "," -   "," 2 "," 4,248 "," 3,084 ",2014,1,"B2"," 1,030,000 ","8/5/2016",1030000,3084,4248,0,FALSE
"86",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15907,89,NA,"B3","316 BEACH 63RD STREET                    ","            ",11692," 2 "," -   "," 2 "," 3,780 "," 1,632 ",1950,1,"B3"," 410,000 ","5/16/2016",410000,1632,3780,0,FALSE
"88",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15913,47,NA,"B2","318 BEACH 67TH STREET                    ","            ",11692," 2 "," -   "," 2 "," 3,250 "," 2,000 ",2008,1,"B2"," 430,000 ","2/10/2017",430000,2000,3250,0,FALSE
"89",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15913,74,NA,"B2","333 BEACH 66TH  STREET                   ","            ",11692," 2 "," -   "," 2 "," 4,000 "," 1,904 ",1920,1,"B2"," 318,500 ","12/30/2016",318500,1904,4000,0,FALSE
"90",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15933,53,NA,"B9","147 BEACH 61ST STREET                    ","            ",11692," 2 "," -   "," 2 "," 2,304 "," 1,842 ",1970,1,"B9"," 440,000 ","9/26/2016",440000,1842,2304,0,FALSE
"91",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15952,9,NA,"B3","418 BEACH 36 STREET                      ","            ",11691," 2 "," -   "," 2 "," 4,600 "," 1,832 ",1940,1,"B3"," 435,000 ","1/27/2017",435000,1832,4600,0,FALSE
"93",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15954,54,NA,"B2","455 BEACH 37 STREET                      ","            ",11691," 2 "," -   "," 2 "," 4,000 "," 1,884 ",1920,1,"B2"," 416,660 ","3/3/2017",416660,1884,4000,0,FALSE
"95",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15962,80,NA,"B2","531 BEACH 43 STREET                      ","            ",11691," 2 "," -   "," 2 "," 3,952 "," 2,464 ",2004,1,"B2"," 273,000 ","3/21/2017",273000,2464,3952,0,FALSE
"97",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15965,9,NA,"B2","412 BEACH 44 STREET                      ","            ",11691," 2 "," -   "," 2 "," 2,602 "," 1,254 ",1899,1,"B2"," 175,500 ","11/16/2016",175500,1254,2602,0,FALSE
"98",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15966,54,NA,"B1","491 BEACH 44 STREET                      ","            ",11691," 2 "," -   "," 2 "," 2,558 "," 2,000 ",2005,1,"B1"," 471,450 ","1/23/2017",471450,2000,2558,0,FALSE
"99",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15969,9,NA,"B2","418 BEACH 47TH STREET                    ","            ",11691," 2 "," -   "," 2 "," 4,504 "," 1,400 ",1940,1,"B2"," 263,500 ","2/8/2017",263500,1400,4504,0,FALSE
"100",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15972,37,NA,"B9","451 BEACH 47 STREET                      ","            ",11691," 2 "," -   "," 2 "," 2,764 "," 1,869 ",1960,1,"B9"," 155,000 ","3/7/2017",155000,1869,2764,0,FALSE
"101",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15973,39,NA,"B2","407 BEACH 48 STREET                      ","            ",11691," 2 "," -   "," 2 "," 1,902 "," 2,120 ",2004,1,"B2"," 418,724 ","2/16/2017",418724,2120,1902,0,FALSE
"102",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16005,40,NA,"B2","62-31 DE COSTA AVENUE                    ","            ",11692," 2 "," -   "," 2 "," 3,179 "," 2,103 ",2016,1,"B2"," 460,850 ","8/12/2016",460850,2103,3179,0,FALSE
"103",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16005,45,NA,"B2","62-33 DE COSTA AVENUE                    ","            ",11692," 2 "," -   "," 2 "," 3,179 "," 2,103 ",2016,1,"B2"," 481,500 ","9/2/2016",481500,2103,3179,0,FALSE
"104",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16007,1,NA,"B2","62-34 BURCHELL ROAD                      ","            ",11692," 2 "," -   "," 2 "," 3,254 "," 1,980 ",2005,1,"B2"," 275,000 ","11/28/2016",275000,1980,3254,0,FALSE
"105",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16024,39,NA,"B2","623 BEACH 64 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,400 "," 2,068 ",1994,1,"B2"," 450,000 ","1/18/2017",450000,2068,3400,0,FALSE
"107",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16025,23,NA,"B1","65-01 BAYFIELD AVENUE                    ","            ",11692," 2 "," -   "," 2 "," 4,000 "," 2,500 ",2007,1,"B1"," 260,000 ","5/9/2016",260000,2500,4000,0,FALSE
"108",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16025,32,NA,"B1","65-18 DE COSTA AVE                       ","            ",11692," 2 "," -   "," 2 "," 4,318 "," 2,000 ",2002,1,"B1"," 572,500 ","3/16/2017",572500,2000,4318,0,FALSE
"109",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16027,12,NA,"B2","626 BEACH 67 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,000 "," 1,800 ",2003,1,"B2"," 445,000 ","5/17/2016",445000,1800,3000,0,FALSE
"110",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16028,19,NA,"B2","6-38 BEACH 68 STREET                     ","            ",11692," 2 "," -   "," 2 "," 3,300 "," 1,980 ",2004,1,"B2"," 535,000 ","2/14/2017",535000,1980,3300,0,FALSE
"111",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16029,111,NA,"B9","620 BEACH 69TH STREET                    ","            ",11692," 2 "," -   "," 2 "," 2,725 "," 1,644 ",1960,1,"B9"," 110,000 ","12/23/2016",110000,1644,2725,0,FALSE
"113",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16030,43,NA,"B2","557 BEACH 63RD ST                        ","            ",11692," 2 "," -   "," 2 "," 3,164 "," 1,978 ",2002,1,"B2"," 350,000 ","10/31/2016",350000,1978,3164,0,FALSE
"114",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16030,79,NA,"B2","505 BEACH 63 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,164 "," 1,978 ",2000,1,"B2"," 465,000 ","2/27/2017",465000,1978,3164,0,FALSE
"115",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16032,17,NA,"B2","536 BEACH 66                             ","            ",11692," 2 "," -   "," 2 "," 4,000 "," 2,081 ",1950,1,"B2"," 394,000 ","11/1/2016",394000,2081,4000,0,FALSE
"116",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16032,21,NA,"B2","544 BEACH 66TH STREET                    ","            ",11692," 2 "," -   "," 2 "," 4,000 "," 2,081 ",1950,1,"B2"," 110,000 ","10/26/2016",110000,2081,4000,0,FALSE
"117",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16033,47,NA,"B2","549 BEACH 66 STREET                      ","            ",11692," 2 "," -   "," 2 "," 3,000 "," 1,738 ",2003,1,"B2"," 470,000 ","7/27/2016",470000,1738,3000,0,FALSE
"120",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16037,53,NA,"B9","4-37 BEACH 63RD STREET                   ","            ",11692," 2 "," -   "," 2 "," 2,550 "," 1,932 ",1940,1,"B9"," 170,000 ","8/25/2016",170000,1932,2550,0,FALSE
"121",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16037,53,NA,"B9","4-37 BEACH 63 STREET                     ","            ",11692," 2 "," -   "," 2 "," 2,550 "," 1,932 ",1940,1,"B9"," 125,000 ","8/25/2016",125000,1932,2550,0,FALSE
"124",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16045,58,NA,"B9","69-42 DE COSTA AVENUE                    ","            ",11692," 2 "," -   "," 2 "," 2,717 "," 1,386 ",1950,1,"B9"," 252,000 ","12/16/2016",252000,1386,2717,0,FALSE
"126",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16045,63,NA,"B9","69-50 DE COSTA                           ","            ",11692," 2 "," -   "," 2 "," 2,717 "," 1,512 ",1950,1,"B9"," 160,000 ","3/30/2017",160000,1512,2717,0,FALSE
"127",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16045,66,NA,"B9","69-54 DECOSTA AVENUE                     ","            ",11692," 2 "," -   "," 2 "," 2,717 "," 1,890 ",1950,1,"B9"," 276,000 ","2/8/2017",276000,1890,2717,0,FALSE
"129",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16046,17,NA,"B9","69-43 DE COSTA AVENUE                    ","            ",11692," 2 "," -   "," 2 "," 2,717 "," 2,378 ",1940,1,"B9"," 114,500 ","7/20/2016",114500,2378,2717,0,FALSE
"130",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16046,43,NA,"B9","637 BEACH 69TH STREET                    ","            ",11692," 2 "," -   "," 2 "," 2,675 "," 2,778 ",1940,1,"B9"," 470,000 ","12/30/2016",470000,2778,2675,0,FALSE
"131",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16046,43,NA,"B9","637 BEACH 69TH STREET                    ","            ",11692," 2 "," -   "," 2 "," 2,675 "," 2,778 ",1940,1,"B9"," 180,000 ","6/29/2016",180000,2778,2675,0,FALSE
"132",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16046,64,NA,"B9","69-44 HILLMEYER AVENUE                   ","            ",11692," 2 "," -   "," 2 "," 3,750 "," 2,057 ",1940,1,"B9"," 415,000 ","12/28/2016",415000,2057,3750,0,FALSE
