"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers","missing_Sqft"
"18618",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10673,19,NA,"A1","88-10 215TH STREET                       ","            ",11427,"1","0","1"," 2,500 "," 1,552 ",1925,1,"A1"," 478,000 ","9/29/2016",478000,1552,2500,0,FALSE
"18619",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10674,60,NA,"A1","88-21 215TH   STREET                     ","            ",11427,"1","0","1"," 2,500 "," 1,568 ",1930,1,"A1"," 575,000 ","12/7/2016",575000,1568,2500,0,FALSE
"18620",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10675,25,NA,"A1","88-14 216TH STREET                       ","            ",11427,"1","0","1"," 2,500 "," 1,636 ",1930,1,"A1"," 465,000 ","10/6/2016",465000,1636,2500,0,FALSE
"18621",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10677,3,NA,"A2","88-23 217TH STREET                       ","            ",11427,"1","0","1"," 4,000 "," 1,194 ",1945,1,"A2"," 552,000 ","1/10/2017",552000,1194,4000,0,FALSE
"18622",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10677,7,NA,"A1","88-15 217TH ST                           ","            ",11427,"1","0","1"," 5,200 "," 1,300 ",1940,1,"A1"," 550,000 ","4/18/2017",550000,1300,5200,0,FALSE
"18623",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10683,92,NA,"A1","214-07 WHITEHALL TERRACE                 ","            ",11427,"1","0","1"," 4,200 "," 1,752 ",1932,1,"A1"," 560,000 ","8/18/2016",560000,1752,4200,0,FALSE
"18624",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10685,70,NA,"A1","87-66 217TH   STREET                     ","            ",11427,"1","0","1"," 4,000 "," 2,000 ",1940,1,"A1"," 540,000 ","10/21/2016",540000,2000,4000,0,FALSE
"18625",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10686,23,NA,"A0","217-10 SPENCER AVENUE                    ","            ",11427,"1","0","1"," 4,000 "," 1,243 ",1940,1,"A0"," 580,000 ","10/14/2016",580000,1243,4000,0,FALSE
"18628",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10692,53,NA,"A1","218-40 SAWYER AVENUE                     ","            ",11427,"1","0","1"," 5,500 "," 2,316 ",1950,1,"A1"," 760,000 ","3/9/2017",760000,2316,5500,0,FALSE
"18631",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10696,52,NA,"A1","218-42 94TH   ROAD                       ","            ",11428,"1","0","1"," 2,856 "," 1,616 ",1920,1,"A1"," 528,000 ","3/24/2017",528000,1616,2856,0,FALSE
